name,category,instructions,glass,glass-size,ingredients,measurements
Goat's Delight,Brandy,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Brandy,  Kirschwasser,  half-and-half,  almond syrup,  Absinthe or pastis","1 oz  Brandy, 1 1/2 oz  Kirschwasser, 1/4 oz  half-and-half, 1 oz  orgeat or almond syrup, 1 oz  Absinthe or pastis"
Russian Bear Cocktail,Vodka,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  White creme de cacao,  half-and-half","1 oz  Vodka, 1/2 oz  White creme de cacao, 1/2 oz  half-and-half"
Character Development,Whiskies,Stir with ice and strain into chilled cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces," Scotch Whiskey,  Coconut liqueur,  Dry Sherry,  Grapefruit bitters","2 oz  Scotch Whiskey, 1/2 oz  Coconut liqueur, 1/2 oz  Dry Sherry, 2 oz  Grapefruit bitters,  Grapefruit twist "
Ruby Red,Vodka,Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces," Grapefruit-flavored vodka,  Triple Sec,   ruby red grapefruit juice,  Lemon juice","2 oz  Grapefruit-flavored vodka, 1 1/2 oz  Triple Sec, 1 1/2 oz   ruby red grapefruit juice, 1 oz  Lemon juice,  Grapefruit twist "
Chaplin,Whiskies,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces," whiskey,  Dry Sherry,  Ramazzotti Amaro,  Triple Sec,  Orange Bitters,  Lemon twist","3/4 oz  whiskey, 3/4 oz  Dry Sherry, 3/4 oz  Ramazzotti Amaro, 1 oz  Triple Sec, 2 oz  Orange Bitters,   Lemon twist"
Rouxby Red,Vodka,Rim chilled cocktail glass with lemon and salt. Shake remaining ingredients with ice and strain into glass.,Cocktail Glass,6 or more ounces,"For glass Lemon wedge, coarse salt,  Grapefruit-flavored vodka,  Lemon juice,  Grapefruit Juice,  Campari,  Simple Syrup","For glass For glass Lemon wedge, coarse salt, 1 1/2 oz  Grapefruit-flavored vodka, 1/4 oz  Lemon juice, 3/4 oz  Grapefruit Juice, 1/2 oz  Campari, 1/2 oz  Simple Syrup"
Rosemary Clementine Sparkle,Vodka,"Squeeze clementine into mixing glass. Twist rind and add to glass. Add vodka, lemon juice, syrup, and rosemary sprig. Add ice and shake. Strain into chilled cocktail glass. Top with sparkling wine or Champagne. Garnish with remaining rosemary sprig.",Cocktail Glass,6 or more ounces," Clementine or mandarin orange,  Vodka,  Lemon juice,  Honey Syrup,   rosemary sprig,  Chilled sparkling wine or Champagne","1/4 oz  Clementine or mandarin orange, 1 1/2 oz  Vodka, 3/4 oz  Lemon juice, 3/4 oz  Honey Syrup, 1 oz   rosemary sprig, 1 oz  Chilled sparkling wine or Champagne"
Chapel Hill,Whiskies,Shake with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces," whiskey,  Triple Sec,  Lemon juice,  Orange twist","2 oz  whiskey, 1/2 oz  Triple Sec, 1/2 oz  Lemon juice,   Orange twist"
Robin's Nest,Vodka,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  Cranberry Juice,  White creme de cacao","1 oz  Vodka, 1 oz  Cranberry Juice, 1/2 oz  White creme de cacao"
Chancellor Cocktail,Whiskies,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces," Blended Scotch Whiskey,  Dry Vermouth,  Tawny port,  Peychaud's Bitters","1 1/2 oz  Blended Scotch Whiskey, 1/2 oz  Dry Vermouth, 1/2 oz  Tawny port, 1 oz  Peychaud's Bitters,  Lemon twist "
Cafe di Saronno,Cocktail Classics,Add 1 oz. Amaretto di Saronno to a cup of black coffee. Top with whipped cream.,Mug,," Amaretto di Saronno,  Hot Black Coffee","1 oz  Amaretto di Saronno,   Hot Black Coffee"
Carre Reprise,Whiskies,Stir with ice. Strain into ice-filled old-fashioned glass. Add lemon twist.,Old-Fashioned Glass,6 to 8 ounces," Straight rye whiskey,  Cognac,  Sweet Vermouth,  Elderflower liqueur,  Angostura Bitters,  Peychaud's Bitters","1 oz  Straight rye whiskey, 1 oz  Cognac, 1 oz  Sweet Vermouth, 1/2 oz  Elderflower liqueur, 1 oz  Angostura Bitters, 1 oz  Peychaud's Bitters"
Gilroy Cocktail,Brandy,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," cherry-flavored brandy,  Gin,  Dry Vermouth,  Lemon juice,  Orange Bitters","3/4 oz  cherry-flavored brandy, 3/4 oz  Gin, 1/2 oz  Dry Vermouth, 1/2 oz  Lemon juice, 1 oz  Orange Bitters"
Redhead Martini,Vodka,Muddle halved strawberries in mixing glass with lemon juice and syrup. Add vodka and ice and shake well. Strain into chilled cocktail glass. Add sparkling wine. Garnish with the strawberry.,Cocktail Glass,6 or more ounces," Strawberries, Lemon juice,  Simple Syrup,  Citrus-flavored vodka,  Chilled Moscato d'Asti or sweet sparkling wine,  Strawberry","4 oz  Strawberries, cut into halves, 3/4 oz  Lemon juice, 3/4 oz  Simple Syrup, 1 1/2 oz  Citrus-flavored vodka, 1 oz  Chilled Moscato d'Asti or sweet sparkling wine,   Strawberry"
Red Apple,Vodka,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  Apple juice,  Lemon juice,  Grenadine","1 1/2 oz  Vodka, 1 oz  Apple juice, 1/2 oz  Lemon juice, 1 oz  Grenadine"
Canal Street Daisy,Whiskies,Add Scotch and juices to ice-filled Collins glass and stir. Fill with soda water and stir again. Garnish with orange.,Collins Glass,14 to 16 ounces," Blended Scotch Whiskey,  Orange juice,  Lemon juice,  Soda water,  Orange wheel","1 oz  Blended Scotch Whiskey, 1 oz  Orange juice, 3/4 oz  Lemon juice, 1 oz  Soda water, 1 oz  Orange wheel"
Canadian Cocktail,Whiskies,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Canadian whisky,  Triple Sec,  Simple Syrup,  Angostura Bitters","1 1/2 oz  Canadian whisky, 1/2 oz  Triple Sec, 1/2 oz  Simple Syrup, 1 oz  Angostura Bitters"
Purple Ruby,Vodka,Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces," Vodka,  Pomegranate juice,  Grapefruit Juice,  Lemon juice,  Honey Syrup,  Grapefruit twist","1 1/2 oz  Vodka, 1 1/2 oz  Pomegranate juice, 1/2 oz  Grapefruit Juice, 1/4 oz  Lemon juice, 1/4 oz  Honey Syrup,   Grapefruit twist"
Canadian Cherry,Whiskies,Moisten rim of old-fashioned glass with maraschino liqueur. Fill with ice. Shake ingredients with ice and strain into glass.,Old-Fashioned Glass,6 to 8 ounces," Maraschino liqueur,  Canadian whisky,  Maraschino liqueur,  Lemon juice,  Orange juice","1 oz  Maraschino liqueur, 1 1/2 oz  Canadian whisky, 1/2 oz  Maraschino liqueur, 1/2 oz  Lemon juice, 1/2 oz  Orange juice"
Orange Smile,Cocktail Classics,Shake with ice and strain into stem goblet.,Red-Wine Glass,12 to 24 ounces," Egg,  Orange Juice,  Grenadine","1 oz  Egg, 1 oz  Orange Juice, 1 oz  Grenadine"
Purple Passion Iced Tea,Vodka,Pour ingredients into ice-filled highball glass in order listed and stir. Add lemon twist.,Highball Glass,7 to 10 ounces," Vodka,  Light Rum,  Gin,  Black raspberry liqueur,  Simple Syrup,  Lemon juice","1/2 oz  Vodka, 1/2 oz  Light Rum, 1/2 oz  Gin, 1/2 oz  Black raspberry liqueur, 1/2 oz  Simple Syrup, 3/4 oz  Lemon juice and 3 oz"
Canadian Breeze,Whiskies,Shake with ice. Strain into ice-filled old-fashioned glass. Garnish with pineapple and cherry.,Old-Fashioned Glass,6 to 8 ounces," Canadian whisky,  Pineapple Juice,  Lemon juice,  Maraschino liqueur,  Pineapple wedge, maraschino cherry","1 1/2 oz  Canadian whisky, 3/4 oz  Pineapple Juice, 1/2 oz  Lemon juice, 1/4 oz  Maraschino liqueur, 1 oz  Pineapple wedge, maraschino cherry"
Purple Passion,Vodka,Shake with ice. Pour with ice into Collins glass.,Collins Glass,14 to 16 ounces," Vodka,  Grapefruit Juice,  Concord grape juice,  Simple Syrup","1 1/2 oz  Vodka, 2 oz  Grapefruit Juice, 2 oz  Concord grape juice, 1/2 oz  Simple Syrup"
Cameron's Kick Cocktail,Whiskies,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Blended Scotch Whiskey,  Irish Whiskey,  Lemon juice,  Orange Bitters","3/4 oz  Blended Scotch Whiskey, 3/4 oz  Irish Whiskey, 1/2 oz  Lemon juice, 2 oz  Orange Bitters"
Georgia Mint Julep,Brandy,Muddle mint and syrup in Collins glass. Fill with ice. Add brandy and peach-flavored brandy. Stir and garnish with additional mint.,Collins Glass,14 to 16 ounces," Mint sprigs,  Simple Syrup,  Brandy,  Peach-flavored brandy","2 oz  Mint sprigs, 1/4 oz  Simple Syrup, 1 1/2 oz  Brandy, 1 oz  Peach-flavored brandy,  mint sprigs "
California Lemonade,Whiskies,"Shake first five ingredients with ice. Strain into shaved ice-filled Collins glass. Fill with soda water and garnish with orange, lemon, and cherry. Serve with straws.",Collins Glass,14 to 16 ounces," whiskey,  Lemon juice,  Lemon juice,  Simple Syrup,  Grenadine,  Soda water, Orange,lemon wheels, maraschino cherry","2 oz  whiskey, 1 oz  Lemon juice, 1 oz  Lemon juice, 1 oz  Simple Syrup, 1/4 oz  Grenadine, 1 oz  Soda water, Orange and lemon wheels, maraschino cherry"
Boston Side Car ,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Mr. Boston Five Star Brandy,  Mr. Boston Rum,  Mr. Boston Triple Sec,  Lime Juice","3/4 oz  Mr. Boston Five Star Brandy, 3/4 oz  Mr. Boston Rum, 3/4 oz  Mr. Boston Triple Sec, 1/2 oz  Lime Juice"
Cablegram,Whiskies,Stir first three ingredients in ice-filled highball glass. Fill with ginger ale.,Highball Glass,7 to 10 ounces," whiskey,  Lemon juice,  Simple Syrup,  Ginger ale","2 oz  whiskey, 1 oz  Lemon juice, 1/2 oz  Simple Syrup, 1 oz  Ginger ale"
Bull And Bear,Whiskies,Shake with ice and strain into chilled cocktail glass. Garnish with cherry and orange.,Cocktail Glass,6 or more ounces," whiskey,  Orange curacao,  Lemon juice,  Grenadine","1 1/2 oz  whiskey, 3/4 oz  Orange curacao, 1 oz  Lemon juice, 1/4 oz  Grenadine,  Maraschino cherry, orange half-wheel "
Brooklyn,Whiskies,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Rye or whiskey,  Sweet Vermouth,  Amer Picon or Torani Amer,  Maraschino liqueur","1 1/2 oz  Rye or whiskey, 1/2 oz  Sweet Vermouth, 1 oz  Amer Picon or Torani Amer, 1 oz  Maraschino liqueur"
Brighton Punch,Whiskies,Shake first five ingredients with ice and pour with ice into Collins glass. Fill with soda water and stir gently. Garnish with orange and lemon and serve with a straw.,Collins Glass,14 to 16 ounces," whiskey,  Brandy,  Benedictine,  Orange juice,  Lemon juice,  Soda water, orange,lemon wheels","3/4 oz  whiskey, 3/4 oz  Brandy, 3/4 oz  Benedictine, 2 oz  Orange juice, 1 oz  Lemon juice,   Soda water, orange and lemon wheels"
Bourbon Renewal,Whiskies,Shake with ice. Strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces," whiskey,  Lemon juice,  Creme de Cassis,  Simple Syrup,  Angostura Bitters","2 oz  whiskey, 1 oz  Lemon juice, 1/2 oz  Creme de Cassis, 1/2 oz  Simple Syrup, 1 oz  Angostura Bitters"
Bourbon Highball,Whiskies,Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water and stir. Add lemon twist.,Highball Glass,7 to 10 ounces," whiskey,  Ginger ale or soda water,  Lemon twist","2 oz  whiskey,   Ginger ale or soda water,   Lemon twist"
Bourbon And Elder,Whiskies,Stir with ice and strain into chilled old-fashioned glass. Add lemon twist.,Old-Fashioned Glass,6 to 8 ounces," whiskey,  Elderflower liqueur,  Angostura Bitters,  Lemon twist","2 oz  whiskey, 3/4 oz  Elderflower liqueur, 1 oz  Angostura Bitters,   Lemon twist"
Bourbon Crusta,Whiskies,Rim chilled cocktail glass with lemon and sugar. Curl the zest spiral in glass. Stir remaining ingredients with ice and strain into glass.,Cocktail Glass,6 or more ounces," Lemon wedge, superfine sugar,  Long, wide spiral of orange zest,  whiskey,  Triple Sec,  Maraschino liqueur,  Lemon juice,  Orange Bitters","For glass  Lemon wedge, superfine sugar,  Long, wide spiral of orange zest, 2 oz  whiskey, 1/2 oz  Triple Sec, 1 oz  Maraschino liqueur, 1 oz  Lemon juice, 2 oz  Orange Bitters"
Bourbon Cooler,Whiskies,Shake with ice in mixing glass. Pour with ice into old-fashioned glass. Garnish with peach.,Old-Fashioned Glass,6 to 8 ounces," whiskey,  Lemon juice,  Grapefruit Juice,  Orgeat Syrup","2 1/2 oz  whiskey, 1/2 oz  Lemon juice, 1/2 oz  Grapefruit Juice, 1/2 oz  Orgeat Syrup,  Peach slice "
Froupe Cocktail,Brandy,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Brandy,  Sweet Vermouth,  Benedictine","1 1/2 oz  Brandy, 1 1/2 oz  Sweet Vermouth, 1 oz  Benedictine"
Bourbon A La Creme,Whiskies,Stir ingredients with ice. Strain into chilled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces," whiskey,  Dark creme de cacao,  Vanilla liqueur","2 oz  whiskey, 1 oz  Dark creme de cacao, 1/2 oz  Vanilla liqueur"
The Bone,Whiskies,Shake with ice and strain into chilled shot glass.,Shot Glass,1 _ to 2 ounces," whiskey,  Lemon juice,  Simple Syrup,  Hot red pepper sauce","2 oz  whiskey, 1/2 oz  Lemon juice, 1/2 oz  Simple Syrup, 3 oz  Hot red pepper sauce"
Bobby Burns Cocktail,Whiskies,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces," Blended Scotch Whiskey,  Sweet Vermouth,  Benedictine,  Lemon twist","1 1/2 oz  Blended Scotch Whiskey, 1 1/2 oz  Sweet Vermouth, 1 oz  Benedictine,   Lemon twist"
Bloody Scotsman,Whiskies,"Mix ingredients together, stirring often, in a large container, adding salt to taste. Chill for at least 24 hours before serving. Serve in icefilled old-fashioned glasses.",Old-Fashioned Glass,6 to 8 ounces," Smoky Scotch whisky Tomato Juice,  V8 cocktail juice,  ketchup,  Lemon juice,  Simple Syrup","24 oz  Smoky Scotch whisky, such as Laphroaig, 24 oz  Tomato Juice, 24 oz  V8 cocktail juice, 1c  ketchup, 3 oz  Lemon juice, 3 oz  Simple Syrup, 3/4 oz"
White Cargo Cocktail,Cocktail Classics,Shake until thoroughly mixed and add water or sauterne if the mixture if too thick. Serve in an old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces," Vanilla Ice Cream,  Mr. Boston Gin","1 oz  Vanilla Ice Cream, 1 oz  Mr. Boston Gin"
Blood and Sand,Whiskies,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Blended Scotch Whiskey,  cherry-flavored brandy,  Sweet Vermouth,  Orange juice","1/2 oz  Blended Scotch Whiskey, 1/2 oz  cherry-flavored brandy, 1/2 oz  Sweet Vermouth, 1/2 oz  Orange juice"
The Blinker,Whiskies,Shake and strain into cocktail glass. Garnish with grapefruit twist or raspberry.,Cocktail Glass,6 or more ounces," Straight rye whisky,  Grapefruit Juice,  Raspberry Syrup,  Grapefruit twist or skewered raspberry","2 oz  Straight rye whisky, 1 1/2 oz  Grapefruit Juice, 1 oz  Raspberry Syrup,   Grapefruit twist or skewered raspberry"
Pike's Peak Cooler,Cocktail Classics,Shake with ice and strain into collins glass with cracked ice. Fill with cider and stir. Insert a spiral of orange or lemon peel (or both) and dangle over rim of glass.,Collins Glass,14 to 16 ounces,"Cider,  Lemon Juice,  Powdered Sugar,  Whole Egg"," Cider, 1/2 oz  Lemon Juice, 1 oz  Powdered Sugar, 1 oz  Whole Egg"
Blarney Stone Cocktail,Whiskies,Shake with ice and strain into chilled cocktail glass. Add orange twist and olive.,Cocktail Glass,6 or more ounces," Irish Whiskey,  Anisette,  Triple Sec,  Maraschino liqueur,  Angostura Bitters,  Orange twist, green olive","2 oz  Irish Whiskey, 1/2 oz  Anisette, 1/2 oz  Triple Sec, 1/2 oz  Maraschino liqueur, 1 oz  Angostura Bitters, 1 oz  Orange twist, green olive"
Pacman,Cocktail Classics,"Add grenadine, lemon juice, and bitters to collins filled with ice. Top  with wedge of lime. with ginger ale. Notch an orange slice and slide down side of glass.",Collins Glass,14 to 16 ounces," Lemon Juice,  Grenadine,  Bitters,  Ginger ale","2 oz  Lemon Juice, 1 oz  Grenadine, 1 oz  Bitters,   Ginger ale"
Lemonade (Golden),Cocktail Classics,"Shake with ice and strain into collins glass. Decorate with slices of orange and lemon, and a cherry.",Collins Glass,14 to 16 ounces," Lemon Juice,  Powdered Sugar,  Egg Yolk,  Water","1 oz  Lemon Juice, 2 oz  Powdered Sugar, 1 oz  Egg Yolk, 6 oz  Water"
Black Hawk,Whiskies,Stir with ice and strain into chilled cocktail glass. Garnish with cherry.,Cocktail Glass,6 or more ounces," whiskey,  Sloe gin,  Maraschino cherry","1 1/2 oz  whiskey, 1 1/2 oz  Sloe gin, 1 oz  Maraschino cherry"
Lemonade (Egg),Cocktail Classics,Shake and strain into collins glass over ice cubes. Add enough water to fill glass. Serve with straws.,Collins Glass,14 to 16 ounces," Lemon Juice,  Powdered Sugar,  Whole Egg","1 oz  Lemon Juice, 2 oz  Powdered Sugar, 1 oz  Whole Egg"
Bensonhurst,Whiskies,Swirl Cynar in chilled cocktail glass to coat inside; discard excess Cynar. Stir remaining ingredients with ice and strain into glass.,Cocktail Glass,6 or more ounces," Cynar,  Straight rye whiskey,  Dry Vermouth,  Maraschino liqueur","1 oz  Cynar, 2 oz  Straight rye whiskey, 1 oz  Dry Vermouth, 1/4 oz  Maraschino liqueur"
Chocolate Daisy,Cocktail Classics,Shake with ice and strain into stein or metal cup. Add ice cubes and decorate with fruit,Stein,," Lemon Juice,  Powdered Sugar,  Grenadine,  Brandy,  Port","1/2 oz  Lemon Juice, 1/2 oz  Powdered Sugar, 1 oz  Grenadine, 1 1/2 oz  Brandy, 1 1/2 oz  Port"
The Beautiful Day,Whiskies,Shake with ice and strain into ice-filled old-fashioned glass. Garnish with edible flowers.,Old-Fashioned Glass,6 to 8 ounces," Irish Whiskey,  Rhubarb Syrup,  Cold brewed green tea,  Edible flowers","1 1/4 oz  Irish Whiskey, 3/4 oz  Rhubarb Syrup, 2 oz  Cold brewed green tea,   Edible flowers"
French Quarter,Brandy,Stir with ice and strain into chilled cocktail glass. Garnish with lemon.,Cocktail Glass,6 or more ounces," Brandy,  Lillet Blanc,  Lemon quarter-wheel","2 oz  Brandy, 3/4 oz  Lillet Blanc,   Lemon quarter-wheel"
Creme de Gin Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  White creme de menthe,  Egg White,  Lemon Juice,  Orange Juice","1 1/2 oz  Gin, 1/2 oz  White creme de menthe, 1 oz  Egg White, 2 oz  Lemon Juice, 2 oz  Orange Juice"
Creamy Screwdriver,Cocktail Classics,Combine all ingredients with a half-cup of crushed ice in an electric blender. Blend at low speed and pour into collins glass.,Collins Glass,14 to 16 ounces," Vodka,  Egg Yolk,  Orange Juice,  Sugar","2 oz  Vodka, 1 oz  Egg Yolk, 6 oz  Orange Juice, 1 oz  Sugar"
Creamy Orange,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Orange Juice,  Cream sherry,  Brandy,  Light cream","1 oz  Orange Juice, 1 oz  Cream sherry, 3/4 oz  Brandy, 1 oz  Light cream"
Creamsicle,Cocktail Classics,"Fill a tall glass with ice, add the above ingredients, and stir.",Collins Glass,14 to 16 ounces," Vanilla liqueur,  Milk,  Orange Juice","1 1/2 oz  Vanilla liqueur, 1 1/2 oz  Milk, 3 oz  Orange Juice"
Cowboy Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Blended whiskey,  Light cream","1 1/2 oz  Blended whiskey, 1 oz  Light cream"
Beals Cocktail,Whiskies,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Blended Scotch Whiskey,  Dry Vermouth,  Sweet Vermouth","1 1/2 oz  Blended Scotch Whiskey, 1/2 oz  Dry Vermouth, 1/2 oz  Sweet Vermouth"
Coronation Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Gin,  Dubonnet,  Dry Vermouth","3/4 oz  Gin, 3/4 oz  Dubonnet, 3/4 oz  Dry Vermouth"
Cornell Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Lemon Juice,  Maraschino,  Egg White,  Gin","1/2 oz  Lemon Juice, 1 oz  Maraschino, 1 oz  Egg White, 1 1/2 oz  Gin"
Combo,Cocktail Classics,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces," Dry Vermouth,  Brandy,  Triple Sec,  Powdered Sugar,  Bitters","2 1/2 oz  Dry Vermouth, 1 oz  Brandy, 1/2 oz  Triple Sec, 1/2 oz  Powdered Sugar, 1 oz  Bitters"
Basin Street,Whiskies,Shake well with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," whiskey,  Triple Sec,  Lemon juice","2 oz  whiskey, 3/4 oz  Triple Sec, 3/4 oz  Lemon juice"
Cole's Raspberry Cream,Cocktail Classics,Shake or blend.,Champagne Flute,6 to 8 ounces," Raspberry Yogurt,  Raspberry Ice Cream,  White creme de cacao,  Vodka,  Heavy cream","1 1/2 oz  Raspberry Yogurt, 1 1/2 oz  Raspberry Ice Cream, 1 1/2 oz  White creme de cacao, 1 1/2 oz  Vodka, 2 oz  Heavy cream"
Cognac Coupling,Cocktail Classics,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces," Cognac,  Tawny port,  Anis,  Lemon Juice","2 oz  Cognac, 1 oz  Tawny port, 1/2 oz  Anis, 1 oz  Lemon Juice"
Coffee Sour,Cocktail Classics,Shake with ice and strain into sour glass.,Sour Glass,5 to 6 ounces," Coffee-flavored brandy,  Lemon Juice,  Powdered Sugar,  Egg White","1 1/2 oz  Coffee-flavored brandy, 1 oz  Lemon Juice, 1 oz  Powdered Sugar, 1/2 oz  Egg White"
Coffee Flip,Cocktail Classics,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.,Sour Glass,5 to 6 ounces," Whole Egg,  Powdered Sugar,  Brandy,  Port,","1 oz  Whole Egg, 1 oz  Powdered Sugar, 1 oz  Brandy, 1 oz  Port, 2 oz  Light Cream (if desired)"
Coffee Cocktail,Cocktail Classics,Shake with ice and strain into sour glass. Sprinkle nutmeg on top.,Sour Glass,5 to 6 ounces," Whole Egg,  Powdered Sugar,  Port,  Brandy","1 oz  Whole Egg, 1 oz  Powdered Sugar, 1 oz  Port, 1 oz  Brandy"
Purple Mask,Vodka,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  Concord grape juice,  White creme de cacao","1 oz  Vodka, 1 oz  Concord grape juice, 1/2 oz  White creme de cacao"
Clove Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Sweet Vermouth,  Sloe gin,  Muscatel Wine","1 oz  Sweet Vermouth, 1/2 oz  Sloe gin, 1/2 oz  Muscatel Wine"
Clover Leaf Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Serve with mint leaf on top.,Cocktail Glass,6 or more ounces," Lime Juice,  Grenadine,  Egg White,  Gin","1 oz  Lime Juice, 2 oz  Grenadine, 1 oz  Egg White, 1 1/2 oz  Gin"
Clover Club Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Lemon Juice,  Grenadine,  Egg White,  Gin","1 oz  Lemon Juice, 2 oz  Grenadine, 1 oz  Egg White, 1 1/2 oz  Gin"
Priority Cocktail,Vodka,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces," Vodka,  Calvados,  Coffee liqueur,  Lemon twist","2 oz  Vodka, 1/2 oz  Calvados, 1/2 oz  Coffee liqueur,   Lemon twist"
Clamato Cocktail,Cocktail Classics,"Shake with ice, strain, and serve over ice cubes in old-fashioned glass.",Old-Fashioned Glass,6 to 8 ounces," Vodka,  Clam Juice,  Tomato Juice","1 1/2 oz  Vodka, 1 oz  Clam Juice, 3 oz  Tomato Juice"
Cider Eggnog,Cocktail Classics,Shake with ice and strain into collins glass. Then fill the glass with cider and stir. Sprinkle nutmeg on top.,Collins Glass,14 to 16 ounces," Whole Egg,  Powdered Sugar,  Milk","1 oz  Whole Egg, 1 oz  Powdered Sugar, 1/2 oz  Milk"
Chocolate Soldier,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Lime Juice,  Dubonnet,  Gin","1/2 oz  Lime Juice, 3/4 oz  Dubonnet, 1 1/2 oz  Gin"
Chocolate Flip,Cocktail Classics,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.,Sour Glass,5 to 6 ounces," Whole Egg,  Powdered Sugar,  Sloe gin,  Brandy,","1 oz  Whole Egg, 1 oz  Powdered Sugar, 3/4 oz  Sloe gin, 3/4 oz  Brandy, 2 oz  Light Cream (if desired)"
Chocolate Cocktail,Cocktail Classics,Shake with ice and strain into sour glass.,Sour Glass,5 to 6 ounces," Port,  Yellow Chartreuse,  Egg Yolk,  Powdered Sugar","1 1/2 oz  Port, 1 1/2 oz  Yellow Chartreuse, 1 oz  Egg Yolk, 1 oz  Powdered Sugar"
Chicago Fizz,Cocktail Classics,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces," Lemon Juice,  Powdered Sugar,  Egg White,  Port,  Light Rum","1/2 oz  Lemon Juice, 1 oz  Powdered Sugar, 1 oz  Egg White, 1 oz  Port, 1 oz  Light Rum"
Pretty In Pink,Vodka,Shake first four ingredients and strain into ice-filled Collins glass. Top with soda water.,Collins Glass,14 to 16 ounces," Vodka,  Cranberry Juice,  Creme de noyaux,  Lemon juice","2 oz  Vodka, 1/2 oz  Cranberry Juice, 3/4 oz  Creme de noyaux, 3/4 oz  Lemon juice,  Soda water "
Cherry Wine Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Danish Cherry Wine,  Vodka,  Lime Juice","3/4 oz  Danish Cherry Wine, 3/4 oz  Vodka, 1/2 oz  Lime Juice"
Cherry Flip,Cocktail Classics,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.,Sour Glass,5 to 6 ounces," Whole Egg,  Powdered Sugar,  cherry-flavored brandy,","1 oz  Whole Egg, 1 oz  Powdered Sugar, 1 1/2 oz  cherry-flavored brandy, 2 oz  Light Cream (if desired)"
Cherry Cooler,Cocktail Classics,"Pour cherry vodka into collins glass over ice cubes. Fill with cola, add a slice of lemon, and stir.",Collins Glass,14 to 16 ounces," Cherry Vodka,  Cola","2 oz  Cherry Vodka,   Cola"
Polynesian Cocktail,Vodka,Rim chilled cocktail glass with lime and sugar. Shake ingredients with ice and strain into glass.,Cocktail Glass,6 or more ounces," Lime wedge, superfine sugar,  Vodka,  cherry-flavored brandy,  Lemon juice","  Lime wedge, superfine sugar, 1 1/2 oz  Vodka, 3/4 oz  cherry-flavored brandy, 3/4 oz  Lemon juice"
